logical_table_id,physical_segment_id,filing_id,member_id,table_classification,segment_role,associated_primary_logical_table_id,continuation_of_physical_segment_id,note_reference,raw_table_title,pdf_page_start,pdf_page_end,golden_asset_path,table_identity_assertion_status,structure_assertion_status,value_assertion_count,current_period_value_assertion_count,comparative_period_value_assertion_count,restated_period_value_assertion_count,continuation_relation_status,continuation_evidence_ref,annotation_status,reviewer,review_date,annotation_change_log_id,release_blocking_status
NEW_CHINA_LIFE_2023_PRIMARY_OTHER_DEBT_INVESTMENT,NEW_CHINA_LIFE_2023_PRIMARY_OTHER_DEBT_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2023,other_debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注13,13 其他债权投资,189,189,companies/new_china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,11,11,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2023_PRIMARY_OTHER_EQUITY_INVESTMENT,NEW_CHINA_LIFE_2023_PRIMARY_OTHER_EQUITY_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2023,other_equity_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注14,14 其他权益工具投资,190,190,companies/new_china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,3,3,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2023_PRIMARY_LEGACY_FVTPL_ASSETS,NEW_CHINA_LIFE_2023_PRIMARY_LEGACY_FVTPL_ASSETS_SEGMENT_01,NEW_CHINA_LIFE_2023,legacy_fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,附注4(15),15 以公允价值计量且其变动计入当期损益的金融资产,190,190,companies/new_china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,3,0,0,3,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2024_PRIMARY_FVTPL_ASSETS,NEW_CHINA_LIFE_2024_PRIMARY_FVTPL_ASSETS_SEGMENT_01,NEW_CHINA_LIFE_2024,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,附注11,11 交易性金融资产,192,192,companies/new_china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,28,14,14,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2024_PRIMARY_DEBT_INVESTMENT,NEW_CHINA_LIFE_2024_PRIMARY_DEBT_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2024,debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注12,12 债权投资,193,193,companies/new_china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,10,10,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2024_PRIMARY_OTHER_DEBT_INVESTMENT,NEW_CHINA_LIFE_2024_PRIMARY_OTHER_DEBT_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2024,other_debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注13,13 其他债权投资,194,194,companies/new_china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,22,11,11,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2024_PRIMARY_OTHER_EQUITY_INVESTMENT,NEW_CHINA_LIFE_2024_PRIMARY_OTHER_EQUITY_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2024,other_equity_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注14,14 其他权益工具投资,196,196,companies/new_china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,6,3,3,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2024_SUPPLEMENTARY_DEBT_ECL_2024,NEW_CHINA_LIFE_2024_SUPPLEMENTARY_DEBT_ECL_2024_SEGMENT_01,NEW_CHINA_LIFE_2024,debt_investment,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,NEW_CHINA_LIFE_2024_PRIMARY_DEBT_INVESTMENT,,附注12,12 债权投资 - 2024年度信用损失准备变动情况,193,193,companies/new_china_life/2024/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,20,0,0,NOT_APPLICABLE,Complete independent current-period ECL schedule on p193.,CERTIFIED_GOLDEN,User_Provided_Evidence_and_Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.2-NEW-CHINA-LIFE-2024-SUPPLEMENTARY-GOLDEN,CLEAR
NEW_CHINA_LIFE_2024_SUPPLEMENTARY_DEBT_ECL_2023,NEW_CHINA_LIFE_2024_SUPPLEMENTARY_DEBT_ECL_2023_SEGMENT_01,NEW_CHINA_LIFE_2024,debt_investment,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,NEW_CHINA_LIFE_2024_PRIMARY_DEBT_INVESTMENT,,附注12（续）,12 债权投资（续）- 2023年度信用损失准备变动情况,194,194,companies/new_china_life/2024/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,24,0,24,0,NOT_APPLICABLE,Period and disclosure block reset creates an independent comparative schedule.,CERTIFIED_GOLDEN,User_Provided_Evidence_and_Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.2-NEW-CHINA-LIFE-2024-SUPPLEMENTARY-GOLDEN,CLEAR
NEW_CHINA_LIFE_2024_SUPPLEMENTARY_OTHER_DEBT_ECL_2024,NEW_CHINA_LIFE_2024_SUPPLEMENTARY_OTHER_DEBT_ECL_2024_SEGMENT_01,NEW_CHINA_LIFE_2024,other_debt_investment,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,NEW_CHINA_LIFE_2024_PRIMARY_OTHER_DEBT_INVESTMENT,,附注13（续）,13 其他债权投资（续）- 2024年度信用损失准备变动情况,195,195,companies/new_china_life/2024/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,20,0,0,NOT_APPLICABLE,Complete independent current-period ECL schedule on p195.,CERTIFIED_GOLDEN,User_Provided_Evidence_and_Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.2-NEW-CHINA-LIFE-2024-SUPPLEMENTARY-GOLDEN,CLEAR
NEW_CHINA_LIFE_2024_SUPPLEMENTARY_OTHER_DEBT_ECL_2023,NEW_CHINA_LIFE_2024_SUPPLEMENTARY_OTHER_DEBT_ECL_2023_SEGMENT_01,NEW_CHINA_LIFE_2024,other_debt_investment,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,NEW_CHINA_LIFE_2024_PRIMARY_OTHER_DEBT_INVESTMENT,,附注13（续）,13 其他债权投资（续）- 2023年度信用损失准备变动情况,196,196,companies/new_china_life/2024/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,0,20,0,NOT_APPLICABLE,Complete comparative schedule ends before peer note 15 on p197.,CERTIFIED_GOLDEN,User_Provided_Evidence_and_Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.2-NEW-CHINA-LIFE-2024-SUPPLEMENTARY-GOLDEN,CLEAR
NEW_CHINA_LIFE_2025_PRIMARY_FVTPL_ASSETS,NEW_CHINA_LIFE_2025_PRIMARY_FVTPL_ASSETS_SEGMENT_01,NEW_CHINA_LIFE_2025,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,附注12,12 交易性金融资产,194,194,companies/new_china_life/2025/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,34,17,17,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2025_PRIMARY_DEBT_INVESTMENT,NEW_CHINA_LIFE_2025_PRIMARY_DEBT_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2025,debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注13,13 债权投资,195,195,companies/new_china_life/2025/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,10,10,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2025_PRIMARY_OTHER_DEBT_INVESTMENT,NEW_CHINA_LIFE_2025_PRIMARY_OTHER_DEBT_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2025,other_debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注14,14 其他债权投资,196,196,companies/new_china_life/2025/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,22,11,11,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2025_PRIMARY_OTHER_EQUITY_INVESTMENT,NEW_CHINA_LIFE_2025_PRIMARY_OTHER_EQUITY_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2025,other_equity_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注15,15 其他权益工具投资,198,198,companies/new_china_life/2025/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,10,5,5,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2025_SUPPLEMENTARY_DEBT_ECL_2025,NEW_CHINA_LIFE_2025_SUPPLEMENTARY_DEBT_ECL_2025_SEGMENT_01,NEW_CHINA_LIFE_2025,debt_investment,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,NEW_CHINA_LIFE_2025_PRIMARY_DEBT_INVESTMENT,,附注13（续）,13 债权投资（续）- 2025年度信用损失准备变动情况,195,195,companies/new_china_life/2025/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,20,0,0,NOT_APPLICABLE,Independent schedule with reset period and ECL stage columns.,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2025_SUPPLEMENTARY_DEBT_ECL_2024,NEW_CHINA_LIFE_2025_SUPPLEMENTARY_DEBT_ECL_2024_SEGMENT_01,NEW_CHINA_LIFE_2025,debt_investment,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,NEW_CHINA_LIFE_2025_PRIMARY_DEBT_INVESTMENT,,附注13（续）,13 债权投资（续）- 2024年度信用损失准备变动情况,196,196,companies/new_china_life/2025/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,0,20,0,NOT_APPLICABLE,Independent schedule with reset period and ECL stage columns.,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2025_SUPPLEMENTARY_OTHER_DEBT_ECL,NEW_CHINA_LIFE_2025_SUPPLEMENTARY_OTHER_DEBT_ECL_SEGMENT_01,NEW_CHINA_LIFE_2025,other_debt_investment,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,NEW_CHINA_LIFE_2025_PRIMARY_OTHER_DEBT_INVESTMENT,,附注14（续）,14 其他债权投资（续）- 2025年度及2024年度信用损失准备变动情况,197,197,companies/new_china_life/2025/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,40,20,20,0,NOT_APPLICABLE,One independent schedule containing current and comparative period blocks on the same page.,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
CHINA_LIFE_2023_PRIMARY_FVTPL_ASSETS,CHINA_LIFE_2023_PRIMARY_FVTPL_ASSETS_SEGMENT_01,CHINA_LIFE_2023,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,十、2,2. 以公允价值计量且其变动计入当期损益的金融资产,171,171,companies/china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,10,10,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
CHINA_LIFE_2023_PRIMARY_LOANS,CHINA_LIFE_2023_PRIMARY_LOANS_SEGMENT_01,CHINA_LIFE_2023,legacy_loans,PRIMARY_TABLE,LOGICAL_ROOT,,,十、8,8. 贷款,174,174,companies/china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,12,6,6,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.7-CHINA-LIFE-2023-LEGACY-LOANS-IDENTITY,CLEAR
CHINA_LIFE_2023_PRIMARY_TERM_DEPOSITS,CHINA_LIFE_2023_PRIMARY_TERM_DEPOSITS_SEGMENT_01,CHINA_LIFE_2023,term_deposits,PRIMARY_TABLE,LOGICAL_ROOT,,,十、9,9. 定期存款,175,175,companies/china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,14,7,7,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
CHINA_LIFE_2023_PRIMARY_AVAILABLE_FOR_SALE_ASSETS,CHINA_LIFE_2023_PRIMARY_AVAILABLE_FOR_SALE_ASSETS_SEGMENT_01,CHINA_LIFE_2023,available_for_sale_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,十、10,10. 可供出售金融资产,176,176,companies/china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,26,13,13,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
CHINA_LIFE_2023_PRIMARY_HELD_TO_MATURITY_INVESTMENTS,CHINA_LIFE_2023_PRIMARY_HELD_TO_MATURITY_INVESTMENTS_SEGMENT_01,CHINA_LIFE_2023,held_to_maturity_investments,PRIMARY_TABLE,LOGICAL_ROOT,,,十、11,11. 持有至到期投资,177,177,companies/china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,10,10,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.8-CHINA-LIFE-PRIMARY-SOURCE-COMPLETENESS,CLEAR
CHINA_LIFE_2023_SUPPLEMENTARY_LOANS_OTHER_MATURITY,CHINA_LIFE_2023_SUPPLEMENTARY_LOANS_OTHER_MATURITY_SEGMENT_01,CHINA_LIFE_2023,legacy_loans,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,CHINA_LIFE_2023_PRIMARY_LOANS,,十、8（续）,8. 贷款（续）- (b) 其他贷款到期期限分析,175,175,companies/china_life/2023/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,12,6,6,0,NOT_APPLICABLE,Independent maturity-axis schedule after the p174 primary balance table naturally ends.,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.7-CHINA-LIFE-2023-LEGACY-LOANS-IDENTITY,CLEAR
CHINA_LIFE_2023_SUPPLEMENTARY_AVAILABLE_FOR_SALE_COST_IMPAIRMENT,CHINA_LIFE_2023_SUPPLEMENTARY_AVAILABLE_FOR_SALE_COST_IMPAIRMENT_SEGMENT_01,CHINA_LIFE_2023,available_for_sale_assets,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,CHINA_LIFE_2023_PRIMARY_AVAILABLE_FOR_SALE_ASSETS,,十、10（续）,10. 可供出售金融资产（续）- 成本/公允价值变动/已计提减值金额明细,177,177,companies/china_life/2023/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,24,12,12,0,NOT_APPLICABLE,Independent schedule with reset measure columns.,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
CHINA_LIFE_2023_SUPPLEMENTARY_HELD_TO_MATURITY_FAIR_VALUE,CHINA_LIFE_2023_SUPPLEMENTARY_HELD_TO_MATURITY_FAIR_VALUE_SEGMENT_01,CHINA_LIFE_2023,held_to_maturity_investments,SUPPLEMENTARY_TABLE,INDEPENDENT_LOGICAL_TABLE,CHINA_LIFE_2023_PRIMARY_HELD_TO_MATURITY_INVESTMENTS,,十、11（续）,11. 持有至到期投资（续）- 公允价值层级拆解,178,178,companies/china_life/2023/supplementary_golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,30,15,15,0,NOT_APPLICABLE,Independent schedule with reset classification-axis columns.,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
CHINA_LIFE_2024_PRIMARY_FVTPL_ASSETS,CHINA_LIFE_2024_PRIMARY_FVTPL_ASSETS_SEGMENT_01,CHINA_LIFE_2024,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,十一、6,6. 交易性金融资产,185,185,companies/china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,11,11,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.8-CHINA-LIFE-PRIMARY-SOURCE-COMPLETENESS,CLEAR
CHINA_LIFE_2024_PRIMARY_DEBT_INVESTMENT,CHINA_LIFE_2024_PRIMARY_DEBT_INVESTMENT_SEGMENT_01,CHINA_LIFE_2024,debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,十一、7,7. 债权投资,185,185,companies/china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,8,8,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.8-CHINA-LIFE-PRIMARY-SOURCE-COMPLETENESS,CLEAR
CHINA_LIFE_2024_PRIMARY_OTHER_DEBT_INVESTMENT,CHINA_LIFE_2024_PRIMARY_OTHER_DEBT_INVESTMENT_SEGMENT_01,CHINA_LIFE_2024,other_debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,十一、8,8. 其他债权投资,186,186,companies/china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,11,11,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.8-CHINA-LIFE-PRIMARY-SOURCE-COMPLETENESS,CLEAR
CHINA_LIFE_2024_PRIMARY_OTHER_EQUITY_INVESTMENT,CHINA_LIFE_2024_PRIMARY_OTHER_EQUITY_INVESTMENT_SEGMENT_01,CHINA_LIFE_2024,other_equity_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,十一、9,9. 其他权益工具投资,187,187,companies/china_life/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,9,9,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.8-CHINA-LIFE-PRIMARY-SOURCE-COMPLETENESS,CLEAR
PING_AN_2025_PRIMARY_FVTPL_ASSETS,PING_AN_2025_PRIMARY_FVTPL_ASSETS_SEGMENT_01,PING_AN_2025,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,附注八、9,9. 以公允价值计量且其变动计入当期损益的金融资产,262,262,companies/ping_an/2025/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,26,13,13,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.3-PRIMARY-GOLDEN-COVERAGE,CLEAR
PING_AN_2025_PRIMARY_DEBT_INVESTMENT,PING_AN_2025_PRIMARY_DEBT_INVESTMENT_SEGMENT_01,PING_AN_2025,debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注八、10,10. 债权投资,262,262,companies/ping_an/2025/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,22,11,11,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.3-PRIMARY-GOLDEN-COVERAGE,CLEAR
